# classification: /scratch/maposto/output.sample1.July-1-2021.LR_isoseq/sqanti3/sample1/duplicate_1/sample1.transcriptome.sqanti3_classification.txt
# isoform: sqanti3/sample1/duplicate_1/sample1.transcriptome.sqanti3_corrected.fasta
# intrapriming cutoff: 0.6
# min_cov cutoff: 3
filtered_isoform,reason
PB.5888.1,IntraPriming
PB.6048.1,LowCoverage/Non-Canonical
PB.6049.1,LowCoverage/Non-Canonical
PB.6050.1,LowCoverage/Non-Canonical
PB.6051.1,IntraPriming
PB.6052.1,LowCoverage/Non-Canonical
PB.6053.1,LowCoverage/Non-Canonical
PB.6054.1,LowCoverage/Non-Canonical
PB.6054.2,LowCoverage/Non-Canonical
PB.6055.1,LowCoverage/Non-Canonical
PB.6055.2,LowCoverage/Non-Canonical
PB.6056.1,LowCoverage/Non-Canonical
PB.6056.2,IntraPriming
PB.6057.1,IntraPriming
PB.6058.1,LowCoverage/Non-Canonical
PB.6059.1,LowCoverage/Non-Canonical
PB.6060.1,LowCoverage/Non-Canonical
PB.6061.1,LowCoverage/Non-Canonical
PB.6062.1,LowCoverage/Non-Canonical
PB.6063.1,LowCoverage/Non-Canonical
PB.6069.1,LowCoverage/Non-Canonical
PB.6064.1,LowCoverage/Non-Canonical
PB.6064.2,LowCoverage/Non-Canonical
PB.6065.1,LowCoverage/Non-Canonical
PB.6066.1,LowCoverage/Non-Canonical
PB.6067.1,LowCoverage/Non-Canonical
PB.6068.1,LowCoverage/Non-Canonical
PB.6070.1,LowCoverage/Non-Canonical
PB.6070.2,LowCoverage/Non-Canonical
PB.6070.3,LowCoverage/Non-Canonical
PB.6071.1,LowCoverage/Non-Canonical
PB.6072.1,LowCoverage/Non-Canonical
PB.6073.1,LowCoverage/Non-Canonical
PB.6074.1,LowCoverage/Non-Canonical
PB.6075.1,LowCoverage/Non-Canonical
PB.6075.2,LowCoverage/Non-Canonical
PB.6076.1,IntraPriming
PB.6077.1,LowCoverage/Non-Canonical
PB.6078.1,LowCoverage/Non-Canonical
PB.6078.2,LowCoverage/Non-Canonical
PB.6078.3,LowCoverage/Non-Canonical
PB.6079.1,LowCoverage/Non-Canonical
PB.6080.1,LowCoverage/Non-Canonical
PB.6081.1,LowCoverage/Non-Canonical
PB.6082.1,LowCoverage/Non-Canonical
PB.6083.1,LowCoverage/Non-Canonical
